users,text
JOrell62189795,@JoeBiden #LatinosForBiden #SheSePuede
LebelShelley,@JoeBiden https://t.co/KLuCQEXSeH
engine26medic,@JoeBiden liar
SandyKAlano,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
Woodywood144,@JoeBiden https://t.co/6HnuGDaBT8
mcolburn,@JoeBiden https://t.co/yV6Z5TtpG7
LKosedy,RT @Sarah98643912: @JoeBiden If you were the president of the United States.  You will kneel and lead the American people to kneel together…
AshleyWinslow20,@JoeBiden I voted for you sir. Time for #45 to make an exit and allow #46 to make an entrance. #BidenHarris
lili95813762,@JoeBiden Shit
dogwoman17,@JoeBiden Obama care is expensive and covers nothing but your forced to pay for it. Get rid of it
lorimarie73,@JoeBiden Hard pass Mr. Biden
drakeu85,"@JoeBiden Haven't received enough illegal ballots yet, huh? #TrumpPence2020"
Eric74565359,@JoeBiden Sounds like you're starting to realize you don't have the lead that these other polls say you have
cfschaffer91,@JoeBiden Put a ton of money on ads on NBC tonight!
RaulVil51616662,@JoeBiden #VoteTrumpOut 👍🇺🇸👍🇺🇸
JudyThompson13,@JoeBiden 💥💥💥💥
TaylorBerryhil1,RT @HKrassenstein: @JoeBiden Rudy Giuliani is fabricating emails to smear Joe Biden. https://t.co/wR4yQJkevq
phoenix31894869,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
llbelk1,@JoeBiden Until we don’t have to watch you stumble and bumble. Maga @realDonaldTrump
TaraProudUSA,"RT @FOOL_NELSON: @JoeBiden met with @georgesoros and Special Envoy and Coordinator of International Energy Affairs @amoshochstein, at the @…"
amarino68,@JoeBiden Where’s Hunter?
JoeBidenForLife,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
PBizzel,"@JoeBiden Wanting to protect vs ""actually"" doing it are two different things. It appears you didn't protect your ow… https://t.co/FqEuh0iOCS"
Cha0ticHaze,@JoeBiden Umm Obamacare failed long ago lol
Grace91741941,@JoeBiden Trump plans to transform America into manufacturing superpower. He wants to end reliance on China 'once a… https://t.co/Y4GF3GaknX
Angela72825448,"RT @Angela72825448: @JoeBiden @JoeBiden, your father's side of your family, were Slave Owner's. The media only talks of your Mother's side…"
Woodywood144,@JoeBiden https://t.co/6HnuGDaBT8
MABHessen,"@JoeBiden According to a recent poll, the undecided US voters are increasingly in favor of Joe Biden as president.👍👍👍"
Nothreeputts2,RT @mmpadellan: @JoeBiden Makes a whole lot more sense than tearing it down without having anything to replace it during a pandemic.  Thank…
JPB7,"@JoeBiden Ok Joe, whatever you say Joe"
phuckutwitr,@JoeBiden https://t.co/trga26AnWl
natemax,@JoeBiden Vote for Joe Biden like your life depends on it. Because it does.  https://t.co/H2TymgE4Pc
Troy_Hawk30,@JoeBiden And so will Trump.
Colorless_Pride,@JoeBiden Obamacare is a disaster lmao
HufManHufAmazin,@JoeBiden Honesty? Decency?  🤣🤣🤣🤣
EuphratesJohnny,@JoeBiden https://t.co/tggq3z56Ha
Lihoyin11,@JoeBiden shut up or I will help you https://t.co/6mvVH54MAN
Billy3ob,@JoeBiden How much did Ukraine pay your boy to buy you Joe?
CherryAmes22,RT @DrDogMD1: @JoeBiden https://t.co/TqI88jsODX
FreebritneyR,@JoeBiden #FreeBritney!!!
Woodywood144,@JoeBiden https://t.co/6HnuGDaBT8
karenmom23boyz,"@JoeBiden His new campaign slogan is, ""PUT A LID ON IT"""
mikem1016,@JoeBiden For what? https://t.co/yb9CzS49jp
joecat2230,@JoeBiden https://t.co/rGF4FUvqB3
murrdogg83,@JoeBiden We didn’t want it in the first place...go back to your basement or shoot some shotguns in the air just pl… https://t.co/OyPka6HmXe
JDepermentier,@JoeBiden And then you can retire to your basement once and for all!
david44270748,@JoeBiden https://t.co/9rG6jCANHc👹👹👿😈 https://t.co/1AG8839Yrm
LIPatrio,@JoeBiden Why do you lie to us.  You had communications with your crackhead son company in  Ukraine ??
jpdavis1982,RT @MGoKhakis: @JoeBiden Caught. Red. Handed. Put a lid on that
K52683479,"@JoeBiden Reject humanity,return to monkey"
EvanstonioLuLu,@JoeBiden Must be at least 50 people there.  Wow!
johncslaughter,RT @RupaliChadhaMD: @JoeBiden Obamacare is harmful to patients on an epic level... especially those in the middle classes! Health insurance…
Melissa53523968,"RT @magninano: @JoeBiden Reading the emails now - Biden knew everything.  Oh, and Hunter Biden smokes crack: https://t.co/5EZQwocfBD"
